circuitRef,circuit_name,locality,country,gp_name
albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,Australian Grand Prix
sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,Malaysian Grand Prix
bahrain,Bahrain International Circuit,Sakhir,Bahrain,Bahrain Grand Prix
catalunya,Circuit de Catalunya,Montmeló,Spain,Spanish Grand Prix
istanbul,Istanbul Park,Istanbul,Turkey,Turkish Grand Prix
monaco,Circuit de Monaco,Monte-Carlo,Monaco,Monaco Grand Prix
villeneuve,Circuit Gilles Villeneuve,Montreal,Canada,Canadian Grand Prix
magny_cours,Circuit de Nevers Magny-Cours,Magny Cours,France,French Grand Prix
silverstone,Silverstone Circuit,Silverstone,UK,British Grand Prix
hockenheimring,Hockenheimring,Hockenheim,Germany,German Grand Prix
hungaroring,Hungaroring,Budapest,Hungary,Hungarian Grand Prix
valencia,Valencia Street Circuit,Valencia,Spain,European Grand Prix
spa,Circuit de Spa-Francorchamps,Spa,Belgium,Belgian Grand Prix
monza,Autodromo Nazionale di Monza,Monza,Italy,Italian Grand Prix
marina_bay,Marina Bay Street Circuit,Marina Bay,Singapore,Singapore Grand Prix
fuji,Fuji Speedway,Oyama,Japan,Japanese Grand Prix
shanghai,Shanghai International Circuit,Shanghai,China,Chinese Grand Prix
interlagos,Autódromo José Carlos Pace,São Paulo,Brazil,Brazilian Grand Prix
indianapolis,Indianapolis Motor Speedway,Indianapolis,USA,Indianapolis 500
indianapolis,Indianapolis Motor Speedway,Indianapolis,USA,United States Grand Prix
nurburgring,Nürburgring,Nürburg,Germany,German Grand Prix
nurburgring,Nürburgring,Nürburg,Germany,European Grand Prix
nurburgring,Nürburgring,Nürburg,Germany,Luxembourg Grand Prix
imola,Autodromo Enzo e Dino Ferrari,Imola,Italy,San Marino Grand Prix
imola,Autodromo Enzo e Dino Ferrari,Imola,Italy,Italian Grand Prix
suzuka,Suzuka Circuit,Suzuka,Japan,Japanese Grand Prix
osterreichring,A1-Ring,Spielburg,Austria,Austrian Grand Prix
yas_marina,Yas Marina Circuit,Abu Dhabi,UAE,Abu Dhabi Grand Prix
galvez,Autódromo Juan y Oscar Gálvez,Buenos Aires,Argentina,Argentine Grand Prix
jerez,Circuito de Jerez,Jerez de la Frontera,Spain,Spanish Grand Prix
jerez,Circuito de Jerez,Jerez de la Frontera,Spain,European Grand Prix
estoril,Autódromo do Estoril,Estoril,Portugal,Portuguese Grand Prix
okayama,Okayama International Circuit,Okayama,Japan,Pacific Grand Prix
adelaide,Adelaide Street Circuit,Adelaide,Australia,Australian Grand Prix
kyalami,Kyalami,Midrand,South Africa,South African Grand Prix
donington,Donington Park,Castle Donington,UK,European Grand Prix
rodriguez,Autódromo Hermanos Rodríguez,Mexico City,Mexico,Mexican Grand Prix
